Steps out_loss reg_loss point_loss train_accuracy time memory
258 0.212 27.381 5.820 0.92 68.51 4307.3
259 0.271 27.373 5.626 0.90 68.66 4307.3
260 0.272 27.365 6.148 0.90 68.80 4307.3
261 0.296 27.356 5.858 0.90 68.92 4307.3
263 0.256 27.348 5.652 0.90 70.66 4307.3
264 0.235 27.339 5.798 0.90 70.81 4307.3
265 0.238 27.330 5.570 0.91 70.96 4307.3
266 0.215 27.321 5.596 0.91 71.11 4307.3
267 0.223 27.312 5.081 0.92 71.24 4307.3
268 0.252 27.303 5.153 0.90 71.36 4307.3
269 0.213 27.294 5.524 0.91 71.50 4307.3
270 0.287 27.285 5.452 0.90 71.63 4307.3
271 0.344 27.275 5.136 0.88 71.76 4307.3
272 0.320 27.265 5.097 0.87 71.90 4307.3
273 0.218 27.256 5.066 0.91 72.04 4307.3
274 0.215 27.246 5.012 0.91 72.18 4307.3
275 0.283 27.236 4.820 0.90 72.32 4307.3
276 0.226 27.226 4.911 0.92 72.45 4307.3
278 0.280 27.216 5.158 0.89 74.18 4307.3
279 0.239 27.206 5.142 0.90 74.34 4307.3
280 0.242 27.196 4.976 0.91 74.48 4307.3
281 0.238 27.186 5.267 0.91 74.63 4307.3
282 0.224 27.175 5.184 0.91 74.75 4307.3
283 0.255 27.165 5.270 0.90 74.87 4307.3
284 0.305 27.154 4.816 0.90 75.01 4307.3
285 0.204 27.144 5.013 0.92 75.13 4307.3
286 0.341 27.133 5.040 0.85 75.27 4307.3
287 0.236 27.122 5.101 0.91 75.40 4307.3
288 0.228 27.111 4.834 0.91 75.55 4307.3
289 0.214 27.100 5.382 0.91 75.68 4307.3
290 0.216 27.089 5.337 0.92 75.82 4307.3
291 0.220 27.078 5.041 0.91 75.94 4307.3
292 0.212 27.067 4.760 0.92 76.01 4307.3
294 0.209 27.055 5.011 0.92 77.72 4307.3
295 0.241 27.044 4.415 0.91 77.86 4307.3
296 0.198 27.033 4.654 0.92 77.98 4307.3
297 0.228 27.021 4.478 0.91 78.12 4307.3
298 0.241 27.010 4.682 0.91 78.25 4307.3
299 0.219 26.998 4.717 0.92 78.40 4307.3
300 0.191 26.987 4.555 0.92 78.54 4307.3
301 0.193 26.975 4.444 0.92 78.67 4307.3
302 0.232 26.963 4.544 0.91 78.82 4307.3
303 0.274 26.951 4.466 0.90 78.94 4307.3
304 0.261 26.939 4.045 0.90 79.08 4307.3
305 0.293 26.927 4.704 0.87 79.23 4307.3
306 0.282 26.915 4.238 0.90 79.36 4307.3
307 0.230 26.903 4.659 0.91 79.51 4307.3
308 0.167 26.891 4.621 0.93 79.58 4307.3
310 0.211 26.879 4.763 0.91 81.27 4307.3
311 0.175 26.867 4.706 0.93 81.42 4307.3
312 0.208 26.855 4.404 0.92 81.56 4307.3
313 0.191 26.843 4.626 0.92 81.71 4307.3
314 0.255 26.831 4.645 0.90 81.86 4307.3
315 0.275 26.818 4.496 0.89 81.97 4307.3
316 0.221 26.806 4.587 0.91 82.10 4307.3
317 0.209 26.794 4.595 0.92 82.24 4307.3
